cell_id,NAD(P)H_amp1,Lifetime fit_NAD(P)H: t1,NAD(P)H_offset,NAD(P)H_amp2,Lifetime fit_NAD(P)H: t2,Lifetime fit_NAD(P)H: a1,Lifetime fit_NAD(P)H: tm,Lifetime fit free_NAD(P)H: G(1st),Lifetime fit free_NAD(P)H: S(1st),Lifetime fit free_NAD(P)H: Tau_phase,Lifetime fit free_NAD(P)H: Tau_m,Lifetime fit free_NAD(P)H: G(2nd),Lifetime fit free_NAD(P)H: S(2nd),Intensity texture_NAD(P)H: intensity_sum,image_name
Tcell_Qui_filtered_153,1159.9665461012328,400.0,31.105589498092723,690.4227378239091,4403.489603589379,62.6877034026403,1893.7939151357286,0.3270110522995528,0.35208037807330805,2.1419510190094484,3.6308931707790513,0.18821009357727955,0.24541800827924568,41781,Tcell_Qui_filtered
Tcell_Qui_filtered_154,1570.0187258471633,400.0,41.66901415841862,924.329437004491,4365.285430123177,62.94304657342803,1869.4139750713896,0.3339176584298435,0.35393766316754727,2.108713301671069,3.5718324031900544,0.19465911715371545,0.25759283770912655,55691,Tcell_Qui_filtered
Tcell_Qui_filtered_155,1516.553296513422,400.0,42.021974080430624,934.6077949436028,4330.990958957987,61.87081305259905,1898.8548916265206,0.3250472037665923,0.3493459699498475,2.138156294011528,3.6639012213751756,0.18059026317832771,0.24772344946013788,55670,Tcell_Qui_filtered
Tcell_Qui_filtered_156,1139.966579662944,400.0,30.854345509478964,695.7717537259144,4409.983711244136,62.09853326745717,1919.8426422975829,0.31942171599378866,0.34639871343045514,2.1574561450684953,3.7240492737010595,0.18342008100348908,0.2415351106692524,41917,Tcell_Qui_filtered
Tcell_Qui_filtered_157,1562.3634732726289,400.0,44.076256237868265,937.3351866175284,4240.452446004689,62.502072683484286,1840.090066828188,0.3390048950219267,0.3510798116677478,2.0602979583480527,3.5579682230299805,0.18914043407896694,0.25499047565298094,55615,Tcell_Qui_filtered
Tcell_Qui_filtered_158,1579.1380812633,400.0,42.944083497475916,933.3218584176528,4272.786947513504,62.852269058022415,1838.6524752183436,0.33565364597545716,0.34933514649838787,2.070527760817738,3.592455301044134,0.19393297545495095,0.253781837870309,55576,Tcell_Qui_filtered
Tcell_Qui_filtered_159,656.912738195347,400.0,19.61715497061922,399.69544344548865,4333.466292468293,62.17183906102348,1887.9579595952991,0.33285092075057565,0.3624731978769736,2.166487967434415,3.519233759536855,0.1989534071286426,0.25189095947383144,24184,Tcell_Qui_filtered
Tcell_Qui_filtered_160,2757.1458747960337,400.0,50.97092390887737,1264.5030014801523,4060.626783854521,68.55759812997377,1550.9889843413548,0.37848044086423455,0.3495385954988533,1.8373074691789837,3.309616452028265,0.23369903905378728,0.2648109280877487,74129,Tcell_Qui_filtered
Tcell_Qui_filtered_161,2078.593870029224,400.0,47.59788632952011,1106.3771820057352,4153.0137015201135,65.26256710249085,1703.7006161998738,0.359918428329612,0.3561085688796232,1.9683779209920256,3.388383427796193,0.20649496347502477,0.2618760478765729,64913,Tcell_Qui_filtered
Tcell_Qui_filtered_162,2783.6699318291635,400.0,46.65296231420868,1198.740663999362,4095.780310189478,69.89911926070576,1512.4624235564538,0.3834931236273257,0.34683273606013415,1.7992546987524307,3.2932699182569736,0.23654205584142737,0.2617628257702412,71106,Tcell_Qui_filtered
